"Source","Source ID","Category","Category ID","Name","Palette","Threadcount","Overview","Comment","Copyright","Source URL","Update date"
"Weddslist","","Robert Bradford","rb","Duncan","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","K/4 G21 W3 G21 B21 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Dundas","R#c80000; G#004c00; B#000064; K#000000; ","K/2 G2 R1 G24 K12 B16 K/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Eglinton","R#c80000; G#004c00; K#000000; W#d0d0d0; ","K/3 G3 K3 W16 K3 R3 K/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Elliott","R#900000; B#000064; P#c80000; ","P/1 B3 R4 B/16","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Erskine","R#c80000; G#004c00; ","R/4 G1 R28 G24 R1 G/6","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Farquharson","R#c80000; G#004c00; B#000064; K#000000; Y#ffc800; ","R/2 B4 K1 B1 K1 B1 K8 G8 Y2 G8 K8 B8 K1 R/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Ferguson of Balquhidder","R#c80000; G#004c00; B#00004c; K#000000; ","G/2 B12 R1 K12 G12 K/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Fergusson","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; ","B/24 K8 G8 R2 G8 K1 W/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Fletcher","R#c80000; G#004c00; B#00004c; K#000000; ","B/6 K1 B6 K8 R1 G8 K/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Fletcher C","R#c80000; G#004c00; B#000064; K#000000; ","B/6 K1 B6 K8 R1 G8 R/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Forbes","K#000000; B#00004c; G#004c00; W#d0d0d0; ","B/8 K1 B2 K1 B2 K6 G8 K1 W2 K1 G8 K6 B8 K1 B/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Forbes Dress","G#004c00; B#00004c; K#000000; W#d0d0d0; ","W/1 B2 W16 B4 W4 K12 G16 K2 W4 K2 G16 K12 B16 K2 B/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Forbes LC","G#004c00; B#00004c; K#000000; W#d0d0d0; ","B/1 K6 B6 K6 G6 K1 W/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Forbes VS","R#c80000; G#004c00; K#000000; Y#ffc800; ","R/1 G16 K8 G3 K4 Y/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Fraser","R#c80000; G#004c00; B#000064; ","B/16 R1 B1 R1 G12 R16 G2 R16 G12 B12 R1 B/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Fraser VS","R#c80000; G#004c00; B#000064; W#d0d0d0; ","W/1 R12 G6 R1 B6 R/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Gordon","G#004c00; B#00004c; K#000000; Y#ffc800; ","B/12 K2 B2 K2 B2 K12 G12 Y2 G12 K12 B11 K2 B/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Gordon VS","G#004c00; B#00004c; K#000000; Y#ffff00; ","B/28 K1 B1 K1 B3 K12 G24 Y1 G1 Y2 G1 Y1 G24 K12 B18 K1 B/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Gow","R#c80000; G#004c00; B#00004c; ","R/4 G4 R1 B4 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Graham W","G#004c00; B#5a3094; K#000000; W#d0d0d0; ","K/3 B14 K17 G4 W2 G/21","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Graham of Menteith","G#004c00; B#000064; K#000000; W#d0d0d0; ","K1 B12 K12 G1 W2 G8","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Graham of Montrose","G#004c00; B#00004c; K#000000; W#d0d0d0; ","K/1 B4 K4 G4 W1 G4 K/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Grant","R#c80000; G#004c00; B#00004c; W#d0d0d0; ","R/6 B1 R2 B2 R32 W1 R2 B8 R2 B2 R2 G24 R2 B2 R/6","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
