"Category", "Name", "Threadcount"
"Robert Bradford", "MacAlister", "r#c80000g#004c00b#00004cw#d0d0d0[r8(w1g2r2w1r1w1r1w1r2g3r1w1r6w1r1g12r1w1r16w1r1g12r1w1r6w1r1b4r1w1r2g3w1r2w1g3r3w1r1b2r1w1)r8"
"Robert Bradford", "MacAlister CC", "r#c80000g#004c00b#000064w#d0d0d0[r4(w1r1g6r12w1r1g18r1w1r32w1r1g18r1w1r12b8r8g8r4g8)r32"
"Robert Bradford", "MacAlpine", "g#004c00k#000000w#d0d0d0y#ffff00[g1k4y1k4g1k1g6k1g6k1g1k4w1k4"
"Robert Bradford", "MacAlpine D", "g#004c00b#00004ck#000000w#d0d0d0y#ffff00[g1k4y1b4g1b1g6k1g6k1g1k4w1k4"
"Robert Bradford", "MacArthur", "g#004c00k#000000y#ffff00[y3(g30k12g6)k32"
"Robert Bradford", "MacAulay", "r#c80000g#004c00k#000000w#d0d0d0[k2(r16g6r3g8)w1"
"Robert Bradford", "MacAulay Hunting", "r#c80000g#004c00k#000000w#d0d0d0[r2(g12k4g8k16w1k16)g6"
"Robert Bradford", "MacBain", "r#c80000p#ff0000g#004c00k#000000w#d0d0d0y#c0c0c0[r60(y2w5k2y2k2w5y2k2g12k2w2r5p5g2p5r5w2k2)g6"
"Robert Bradford", "MacBean", "r#c80000p#ff0000g#004c00b#00004cw#d0d0d0y#c0c0c0k#000000[r24(y1b2w1y1w1b2y1k1g6k1y1r2p2g1p2r2y1)g3"
"Robert Bradford", "MacBeth", "r#c80000g#004c00b#00004ck#000000w#d0d0d0y#ffff00[b36(y4k6w1k1w1k1g8r6k1r3)w1"
"Robert Bradford", "MacCallum", "g#004c00b#00004ck#000000w#d0d0d0[k1(b6k6g4w1k2)g8"
"Robert Bradford", "MacCallum W", "r#c80000g#004c00b#00004ck#000000[k1(b6k6g6r1g6)k6"
"Robert Bradford", "MacColl", "r#c80000g#004c00b#000064[g4(r1g1r12b1r1b3r1b1r2g8r1b1)r12"
"Robert Bradford", "MacDonald", "r#c80000g#004c00b#000064k#000000[g8(r1g2r3g12k12r1b12r3b2r1)b8"
"Robert Bradford", "MacDonald Lord of the Isles", "g#004c00r#c80000[r38(g2r5)g16"
"Robert Bradford", "MacDonald Lord of the Isles Hunting", "g#004c00b#00005bw#d0d0d0[g24(w1g2w2b2w1b12w1b2w2b2w1)b12"
"Robert Bradford", "MacDonald of Clanranald", "r#c80000g#004c00b#000064k#000000w#d0d0d0[g8(r1g2r3g12w1k12r1b12r3b2r1)b8"
"Robert Bradford", "MacDonald of Clanranald D", "r#c80000g#004c00b#000064k#000000w#d0d0d0[g6(r2g2r3g12w2k10r2b12r3b2r2)b6"
"Robert Bradford", "MacDonald of Sleat", "r#c80000g#004c00k#000000[k2(r18g2r6)g14"
"Robert Bradford", "MacDonald of Staffa", "r#c80000g#004c00b#00004ck#000000w#d0d0d0y#ffc800[y1(r6b1r3b1r1g2w1g2r3y1r3k2r1b1r4b1r1g3r3b1r1b1r1b1r1b1)r15"
"Robert Bradford", "MacDonell of Glengarry", "r#c80000g#004c00b#000064k#000000w#d0d0d0[w1(g4r1g2r3g12k12r1b12r4)b8"
